FID,STATION,STATUS,TYPE,LINE,ObjectId,x,y
161,SE Martin Luther King & Salmon,Existing,SC,CL,161,-122.661945326278,45.5146566980841
162,SE Grand & Madison,Existing,SC,CL,162,-122.660624937556,45.5126378884216
163,SE Martin Luther King & Hawthorne,Existing,SC,CL,163,-122.661953551061,45.5124776532996
164,SE Grand & Mill,Existing,SC,CL,164,-122.660683010817,45.5099574362573
165,SE Martin Luther King & Stephens,Existing,SC,CL,165,-122.661958162826,45.5095522616471
166,OMSI,Existing,SC,CL,166,-122.663340369111,45.5066624611537
167,NW Lovejoy - 9th,Existing,SC,CL,167,-122.680491387325,45.5300632676133
168,Clinton/SE 12th Ave,UC,MAX,PMLR,168,-122.653541623177,45.503053779515
169,SE 17th Ave & Rhine St,UC,MAX,PMLR,169,-122.648180010298,45.4978477262921
170,SE 17th Ave & Holgate Blvd,UC,MAX,PMLR,170,-122.648467359119,45.4908885567427
171,SE Bybee Blvd,UC,MAX,PMLR,171,-122.640030768423,45.474900378876
172,SE Tacoma St/Johnson Creek,UC,MAX,PMLR,172,-122.637543285055,45.4627764677965
173,Milwaukie/Main St,UC,MAX,PMLR,173,-122.639871669851,45.4413261752124
174,OMSI/SE Water Ave,UC,MAX,PMLR,174,-122.662819719221,45.5065558803004
175,South Waterfront/SW Moody Ave,UC,MAX,PMLR,175,-122.67129766558,45.5027190986705
176,Lincoln St/SW 3rd Ave,UC,MAX,PMLR,176,-122.680526344008,45.5079207143535
177,SE Park Ave,UC,MAX,PMLR,177,-122.634995445497,45.430299123827
178,NW 11th & Marshall,Existing,SC,CL,178,-122.68247622004,45.5309059054683
